gene	log2FC	pvalue	padj
ENSG00000010030	-0.11035282607756214	0.8480693017509282	
ENSG00000010072	-0.2570802168501305	0.0449185224420355	
ENSG00000010165	-0.09654497720596478	0.3543726096608869	
ENSG00000010219	0.29457894920078953	0.001398824546212313	
ENSG00000010244	0.12617263176291615	0.12660327478272204	
ENSG00000010256	0.09714244171401809	0.2518912210969827	
ENSG00000010270	0.23918564954002708	0.0064068389213762615	
ENSG00000010278	0.8963972136975755	3.785558111561817e-10	
ENSG00000010282	0.180389226969222	0.12713319160716013	
ENSG00000010292	0.03900153702036446	0.7656604975390204	
ENSG00000010295	0.26301447188690386	0.004617754913542416	
ENSG00000010310	0.8154563841510625	0.004476784896097115	
ENSG00000010318	0.12893386854978584	0.22696975793170326	
ENSG00000010319	0.31347425086123826	0.0007505162637761507	
ENSG00000010322	0.3609523500132088	0.014977602792500879	
ENSG00000010327	0.0684879001534302	0.6785930337289985	
ENSG00000010361	-0.06042503395002896	0.6176651023459625	
ENSG00000010379	0.6294183378691907	7.720385232121984e-05	
ENSG00000010404	-0.010572846377529643	0.8994419877724181	
ENSG00000010438	1.8510693934316143	0.06569884908383589	
ENSG00000010539	-0.004993600599503267	0.9440070767971622	
ENSG00000010610	0.6679564251805477	0.0049883998714728255	
ENSG00000010626	0.05530964051953369	0.695443507794274	
ENSG00000010671	0.06551475472464707	0.7406047178464997	
ENSG00000010704	-0.11674855418130958	0.5000773242708663	
ENSG00000010803	-0.10074406788721291	0.1292518726722872	
ENSG00000010810	0.06968503530754333	0.41470362996867594	
ENSG00000010818	-0.19796321561160024	0.17305948694131287	
ENSG00000010932	0.14521572320778758	0.7572451777544943	
ENSG00000011007	-0.23110821654678437	0.08567115147531637	
ENSG00000011009	0.20751761810217673	0.05959147023402109	
ENSG00000011021	0.2604937210911755	0.002407826444545891	
ENSG00000011028	1.2690825289810128	3.800419086788295e-05	
ENSG00000011052	-0.42176104649305945	0.4376674336425924	
ENSG00000011083	1.2576273787450427	0.04604723267502069	
ENSG00000011105	0.7993674404422073	3.808098923432659e-09	
ENSG00000011114	-0.3679682545303873	0.027110857135415826	
ENSG00000011132	0.08683522131947718	0.44330681642367575	
ENSG00000011143	0.33098862267491125	0.00029147002849976624	
ENSG00000011198	-0.23969088223475055	0.07628014515006011	
ENSG00000011201	0.5179748677665996	0.0013398589643098698	
ENSG00000011243	-0.3596807740015313	0.0003146821479840423	
ENSG00000011258	0.11209493516473135	0.3401890314227891	
ENSG00000011260	0.247158849505134	0.03843686181201359	
ENSG00000011275	-0.26347099545039043	0.0320028981217918	
ENSG00000011295	0.12097751404544432	0.03866093413291538	
ENSG00000011304	0.12050187177052774	0.11322813163479373	
ENSG00000011332	0.004338214330073309	0.9863739717468711	
ENSG00000011347	-0.7134065448940232	0.0004017544985592328	
ENSG00000011376	0.15781186516285262	0.03854113004444756	
ENSG00000011405	-0.3697125934446577	0.021534618802253738	
ENSG00000011422	0.0781385377797883	0.7844146858175848	
ENSG00000011426	-0.9279067236521987	0.0730385654402367	
ENSG00000011451	-0.08810614028075392	0.16045774793378134	
ENSG00000011454	-0.008723635663789864	0.9202792586512882	
