GeneID	Symbol	Description	log2(fold change)(Control vs DCM)	-log10(Pvalue)(Control vs DCM)
64146	PDF	peptide deformylase, mitochondrial	0.142	1.318
7014	TERF2	telomeric repeat binding factor 2	-0.153	1.963
1728	NQO1	NAD(P)H quinone dehydrogenase 1	1.765	25.791
11060	WWP2	WW domain containing E3 ubiquitin protein ligase 2	-0.207	2.459
283970	PDXDC2P-NPIPB14P	PDXDC2P-NPIPB14P readthrough	0.204	1.764
118460	EXOSC6	exosome component 6	-0.369	1.77
16	AARS1	alanyl-tRNA synthetase 1	0.264	3.925
55308	DDX19A	DEAD-box helicase 19A	0.12	1.809
197258	FCSK	fucose kinase	-0.377	5.565
92154	MTSS2	MTSS I-BAR domain containing 2	0.579	6.163
794	CALB2	calbindin 2	2.358	4.337
23035	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2	-0.255	1.458
342371	ATXN1L	ataxin 1 like	-0.334	3.223
55565	ZNF821	zinc finger protein 821	-0.569	3.183
9798	IST1	IST1 factor associated with ESCRT-III	-0.154	1.969
3240	HP	haptoglobin	1.257	3.03
3250	HPR	haptoglobin-related protein	1.195	2.757
5713	PSMD7	proteasome 26S subunit, non-ATPase 7	0.437	9.556
2734	GLG1	golgi glycoprotein 1	-0.157	1.755
55159	RFWD3	ring finger and WD repeat domain 3	-0.193	1.944
84937	ZNRF1	zinc and ring finger 1	0.427	4.899
9564	BCAR1	BCAR1 scaffold protein, Cas family member	-0.178	1.404
10428	CFDP1	craniofacial development protein 1	0.195	1.454
124491	TMEM170A	transmembrane protein 170A	-0.277	2.279
4166	CHST6	carbohydrate sulfotransferase 6	-1.12	1.729
23563	CHST5	carbohydrate sulfotransferase 5	-0.884	4.756
79583	TMEM231	transmembrane protein 231	-0.581	4.368
11345	GABARAPL2	GABA type A receptor associated protein like 2	-0.307	5.237
3735	KARS1	lysyl-tRNA synthetase 1	0.203	2.016
57687	VAT1L	vesicle amine transport 1 like	-1.005	3.176
100996425	ARLNC1	androgen receptor regulated long noncoding RNA 1	-0.695	2
56942	CMC2	C-X9-C motif containing 2	0.336	2.819
123775	C16orf46	chromosome 16 open reading frame 46	0.326	2.186
2653	GCSH	glycine cleavage system protein H	0.309	2.937
10200	MPHOSPH6	M-phase phosphoprotein 6	0.377	3.02
23417	MLYCD	malonyl-CoA decarboxylase	-0.33	1.454
123872	DNAAF1	dynein axonemal assembly factor 1	-0.336	2.389
9013	TAF1C	TATA-box binding protein associated factor, RNA polymerase I subunit C	-0.23	1.595
9914	ATP2C2	ATPase secretory pathway Ca2+ transporting 2	-0.493	2.674
23406	COTL1	coactosin like F-actin binding protein 1	0.378	1.375
9100	USP10	ubiquitin specific peptidase 10	0.198	2.625
101928474	LOC101928474	uncharacterized LOC101928474	-1.053	1.749
55625	ZDHHC7	zinc finger DHHC-type palmitoyltransferase 7	0.189	2.569
23199	GSE1	Gse1 coiled-coil protein	0.221	1.665
107984830	LOC107984830	uncharacterized LOC107984830	0.897	3.847
64779	MTHFSD	methenyltetrahydrofolate synthetase domain containing	-0.173	2.217
2303	FOXC2	forkhead box C2	-0.4	1.941
79791	FBXO31	F-box protein 31	-0.193	1.603
81631	MAP1LC3B	microtubule associated protein 1 light chain 3 beta	0.26	3.755
54758	KLHDC4	kelch domain containing 4	-0.179	1.548
161882	ZFPM1	zinc finger protein, FOG family member 1	-0.477	3.713
333929	SNAI3	snail family transcriptional repressor 3	0.71	2.531
115992	RNF166	ring finger protein 166	-0.311	3.72
9780	PIEZO1	piezo type mechanosensitive ion channel component 1	-0.408	2.839
100289580	LOC100289580	uncharacterized LOC100289580	-0.487	1.963
100129697	LOC100129697	uncharacterized LOC100129697	-0.724	3.59
197322	ACSF3	acyl-CoA synthetase family member 3	-0.191	1.521
29123	ANKRD11	ankyrin repeat domain containing 11	0.362	7.176
105371414	LOC105371414	uncharacterized LOC105371414	0.371	1.326
100287036	LOC100287036	uncharacterized LOC100287036	1.442	3.77
6687	SPG7	SPG7 matrix AAA peptidase subunit, paraplegin	0.212	2.625
5119	CHMP1A	charged multivesicular body protein 1A	-0.227	3.078
8558	CDK10	cyclin dependent kinase 10	-0.231	1.562
124044	SPATA2L	spermatogenesis associated 2 like	-0.511	2.422
9605	VPS9D1	VPS9 domain containing 1	0.153	1.313
100128881	VPS9D1-AS1	VPS9D1 antisense RNA 1	0.292	2.661
92822	ZNF276	zinc finger protein 276	-0.203	2.977
22980	TCF25	transcription factor 25	-0.193	3.689
4157	MC1R	melanocortin 1 receptor	-0.549	2.43
10381	TUBB3	tubulin beta 3 class III	0.638	4.666
54849	DEF8	differentially expressed in FDCP 8 homolog	-0.323	6.126
79007	DBNDD1	dysbindin domain containing 1	0.534	1.701
100130015	URAHP	urate (hydroxyiso-) hydrolase, pseudogene	-0.354	2.908
101927999	LOC101927999	putative uncharacterized protein FLJ44672	-0.685	2.009
102723753	LOC102723753	HECT and RLD domain containing E3 ubiquitin protein ligase 2 pseudogene	0.69	3.568
105377826	LINC02887	long intergenic non-protein coding RNA 2887	-0.384	1.836
101929828	LOC101929828	uncharacterized LOC101929828	0.511	1.803
8447	DOC2B	double C2 domain beta	-0.538	2.747
79850	TLCD3A	TLC domain containing 3A	-0.463	3.674
50628	GEMIN4	gem nuclear organelle associated protein 4	-0.253	2.405
51031	GLOD4	glyoxalase domain containing 4	-0.26	3.101
64359	NXN	nucleoredoxin	0.525	3.086
29	ABR	ABR activator of RhoGEF and GTPase	0.264	3.575
105371481	LOC105371481	uncharacterized LOC105371481	0.576	6.321
105371480	LOC105371480	uncharacterized LOC105371480	0.478	2.562
1398	CRK	CRK proto-oncogene, adaptor protein	-0.213	1.53
5306	PITPNA	phosphatidylinositol transfer protein alpha	0.183	2.84
124935	SLC43A2	solute carrier family 43 member 2	-1.028	7.235
8578	SCARF1	scavenger receptor class F member 1	-0.348	3.517
83547	RILP	Rab interacting lysosomal protein	0.24	1.486
727910	TLCD2	TLC domain containing 2	0.773	5.381
407004	MIR22	microRNA 22	-0.56	1.502
124997	WDR81	WD repeat domain 81	-0.3	2.217
6117	RPA1	replication protein A1	-0.248	1.569
1801	DPH1	diphthamide biosynthesis 1	-0.148	1.454
9905	SGSM2	small G protein signaling modulator 2	-0.332	6.755
101927864	LOC101927864	uncharacterized LOC101927864	-0.189	1.549
5048	PAFAH1B1	platelet activating factor acetylhydrolase 1b regulatory subunit 1	0.101	1.312
23108	RAP1GAP2	RAP1 GTPase activating protein 2	0.245	1.406
101927911	LOC101927911	uncharacterized LOC101927911	0.687	4.247
443	ASPA	aspartoacylase	-0.574	2.123
7442	TRPV1	transient receptor potential cation channel subfamily V member 1	-0.473	5.082
1497	CTNS	cystinosin, lysosomal cystine transporter	-0.19	1.871
105371493	LOC105371493	uncharacterized LOC105371493	-0.323	1.349
105371492	CTNS-AS1	CTNS antisense RNA 1	-0.349	1.809
30851	TAX1BP3	Tax1 binding protein 3	-0.36	4.178
83460	EMC6	ER membrane protein complex subunit 6	0.551	6.834
5026	P2RX5	purinergic receptor P2X 5	0.644	2.433
55421	NCBP3	nuclear cap binding subunit 3	-0.334	6.772
5023	P2RX1	purinergic receptor P2X 1	-1.068	2.744
489	ATP2A3	ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 3	-0.562	4.048
23140	ZZEF1	zinc finger ZZ-type and EF-hand domain containing 1	0.265	5.415
201305	SPNS3	SPNS lysolipid transporter 3, sphingosine-1-phosphate (putative)	-1.03	3.828
10514	MYBBP1A	MYB binding protein 1a	-0.176	1.932
342527	SMTNL2	smoothelin like 2	1.327	8.78
27043	PELP1	proline, glutamate and leucine rich protein 1	-0.497	9.875
409	ARRB2	arrestin beta 2	0.578	4.077
400569	MED11	mediator complex subunit 11	0.456	10.484
58191	CXCL16	C-X-C motif chemokine ligand 16	-0.367	1.424
84225	ZMYND15	zinc finger MYND-type containing 15	-1.037	3.487
5694	PSMB6	proteasome 20S subunit beta 6	0.252	2.956
50488	MINK1	misshapen like kinase 1	0.288	5.436
1145	CHRNE	cholinergic receptor nicotinic epsilon subunit	-0.704	2.832
100130311	C17orf107	chromosome 17 open reading frame 107	-1.472	5.119
26001	RNF167	ring finger protein 167	0.397	9.006
5216	PFN1	profilin 1	0.296	3.055
9552	SPAG7	sperm associated antigen 7	0.215	1.382
388324	INCA1	inhibitor of CDK, cyclin A1 interacting protein 1	0.249	1.876
10749	KIF1C	kinesin family member 1C	0.544	13.169
102724009	KIF1C-AS1	KIF1C antisense RNA 1	0.727	19.148
105371502	LOC105371502		-0.759	3.514
105371501	LOC105371501	uncharacterized LOC105371501	-1.21	5.025
9135	RABEP1	rabaptin, RAB GTPase binding effector protein 1	0.173	1.78
708	C1QBP	complement C1q binding protein	0.202	1.52
728392	LOC728392	uncharacterized LOC728392	-0.403	1.816
23302	WSCD1	WSC domain containing 1	0.759	4.316
83394	PITPNM3	PITPNM family member 3	-0.554	1.768
9851	KIAA0753	KIAA0753	-0.159	1.51
239	ALOX12	arachidonate 12-lipoxygenase, 12S type	-0.242	1.451
100529209	RNASEK-C17orf49	RNASEK-C17orf49 readthrough	0.159	1.608
440400	RNASEK	ribonuclease K	0.185	1.698
255877	BCL6B	BCL6B transcription repressor	-0.87	3.062
37	ACADVL	acyl-CoA dehydrogenase very long chain	0.355	2.603
442898	MIR324	microRNA 324	-0.853	5.444
79142	PHF23	PHD finger protein 23	0.294	2.978
23399	CTDNEP1	CTD nuclear envelope phosphatase 1	0.152	1.865
1366	CLDN7	claudin 7	0.695	2.008
6517	SLC2A4	solute carrier family 2 member 4	0.292	1.573
51087	YBX2	Y-box binding protein 2	0.436	2.698
1984	EIF5A	eukaryotic translation initiation factor 5A	0.284	3.895
2874	GPS2	G protein pathway suppressor 2	0.495	8.164
9744	ACAP1	ArfGAP with coiled-coil, ankyrin repeat and PH domains 1	-0.252	1.821
284114	TMEM102	transmembrane protein 102	0.393	1.889
2256	FGF11	fibroblast growth factor 11	0.504	1.959
1140	CHRNB1	cholinergic receptor nicotinic beta 1 subunit	0.301	1.634
5430	POLR2A	RNA polymerase II subunit A	-0.344	4.616
8742	TNFSF12	TNF superfamily member 12	-0.199	2.048
26168	SENP3	SUMO specific peptidase 3	0.154	1.572
652965	SNORA48	small nucleolar RNA, H/ACA box 48	-0.654	1.647
652966	SNORD10	small nucleolar RNA, C/D box 10	-1.036	5.799
26781	SNORA67	small nucleolar RNA, H/ACA box 67	-0.811	4.572
100996842	LOC100996842	uncharacterized LOC100996842	0.391	2.634
9526	MPDU1	mannose-P-dolichol utilization defect 1	0.324	3.727
6665	SOX15	SRY-box transcription factor 15	-0.862	3.634
9513	FXR2	FMR1 autosomal homolog 2	0.315	3.536
112483	SAT2	spermidine/spermine N1-acetyltransferase family member 2	0.326	2.548
482	ATP1B2	ATPase Na+/K+ transporting subunit beta 2	-0.551	2.907
118432	RPL29P2	ribosomal protein L29 pseudogene 2	-0.552	1.73
284023	RNF227	ring finger protein 227	-0.461	3.65
3000	GUCY2D	guanylate cyclase 2D, retinal	0.765	2.047
5187	PER1	period circadian regulator 1	-0.66	1.964
6844	VAMP2	vesicle associated membrane protein 2	-0.385	8.028
84314	TMEM107	transmembrane protein 107	-0.409	2.643
80169	CTC1	CST telomere replication complex component 1	-0.197	1.662
5198	PFAS	phosphoribosylformylglycinamidine synthase	-0.152	1.407
6154	RPL26	ribosomal protein L26	0.466	3.867
107987245	LOC107987245	uncharacterized LOC107987245	-0.39	2.113
9482	STX8	syntaxin 8	0.435	4.051
201140	DHRS7C	dehydrogenase/reductase 7C	2.485	4.501
9340	GLP2R	glucagon like peptide 2 receptor	1.178	1.633
8522	GAS7	growth arrest specific 7	-0.392	1.418
100128560	MYHAS	myosin heavy chain gene cluster antisense RNA	-0.987	1.852
388335	TMEM220	transmembrane protein 220	0.407	3.527
100506898	MAGOH2P	mago homolog 2, pseudogene	0.599	2.78
6416	MAP2K4	mitogen-activated protein kinase kinase 4	0.157	1.915
284034	LINC00670	long intergenic non-protein coding RNA 670	-1.922	9.374
93649	MYOCD	myocardin	-0.504	1.47
9912	ARHGAP44	Rho GTPase activating protein 44	0.32	3.983
60528	ELAC2	elaC ribonuclease Z 2	0.171	1.852
107985014	LOC107985014	uncharacterized LOC107985014	-0.664	1.987
5376	PMP22	peripheral myelin protein 22	0.314	3.411
201158	TVP23C	trans-golgi network vesicle protein 23 homolog C	-0.194	2.069
374286	FBXW10B	F-box and WD repeat domain containing 10B	0.473	4.721
10626	TRIM16	tripartite motif containing 16	0.757	4.883
9611	NCOR1	nuclear receptor corepressor 1	0.248	4.749
9487	PIGL	phosphatidylinositol glycan anchor biosynthesis class L	-0.221	1.309
201161	CENPV	centromere protein V	0.579	2.067
7314	UBB	ubiquitin B	-0.358	4.046
51393	TRPV2	transient receptor potential cation channel subfamily V member 2	-0.309	2.127
388341	LRRC75A	leucine rich repeat containing 75A	-0.446	8.004
9720	CCDC144A	coiled-coil domain containing 144A	0.648	1.761
201164	PLD6	phospholipase D family member 6	0.457	1.818
8533	COPS3	COP9 signalosome subunit 3	0.321	4.96
10743	RAI1	retinoic acid induced 1	0.278	1.384
6720	SREBF1	sterol regulatory element binding transcription factor 1	0.602	2.865
146691	TOM1L2	target of myb1 like 2 membrane trafficking protein	-0.356	4.749
83450	DRC3	dynein regulatory complex subunit 3	-0.432	4.839
91647	ATPAF2	ATP synthase mitochondrial F1 complex assembly factor 2	0.187	1.656
79018	GID4	GID complex subunit 4 homolog	0.332	5.828
1819	DRG2	developmentally regulated GTP binding protein 2	-0.223	3.145
105371566	LOC105371566	uncharacterized LOC105371566	-0.564	5.232
3996	LLGL1	LLGL scribble cell polarity complex component 1	-0.323	3.55
2314	FLII	FLII actin remodeling protein	0.306	4.195
125170	MIEF2	mitochondrial elongation factor 2	-0.529	3.246
7156	TOP3A	DNA topoisomerase III alpha	-0.247	4.664
140775	SMCR8	SMCR8-C9orf72 complex subunit	0.225	2.669
6470	SHMT1	serine hydroxymethyltransferase 1	0.397	1.988
654346	LGALS9C	galectin 9C	-0.539	1.614
220594	USP32P2	ubiquitin specific peptidase 32 pseudogene 2	-0.464	1.415
147166	TRIM16L	tripartite motif containing 16 like	0.927	5.047
10517	FBXW10	F-box and WD repeat domain containing 10	0.755	2.906
644815	FAM83G	family with sequence similarity 83 member G	0.536	1.843
22905	EPN2	epsin 2	0.307	2.373
5598	MAPK7	mitogen-activated protein kinase 7	-0.386	4.035
4239	MFAP4	microfibril associated protein 4	-1.486	8.892
92521	SPECC1	sperm antigen with calponin homology and coiled-coil domains 1	-0.375	2.454
105371582	LINC02088	long intergenic non-protein coding RNA 2088	-0.457	1.662
100287072	LOC100287072	ribosomal protein S6 kinase B1 pseudogene	0.312	2.208
23326	USP22	ubiquitin specific peptidase 22	-0.513	13.404
8834	TMEM11	transmembrane protein 11	0.524	8.256
23666	UBBP4	ubiquitin B pseudogene 4	-0.335	2.904
105371705	LOC105371705	uncharacterized LOC105371705	-0.619	3.031
8844	KSR1	kinase suppressor of ras 1	-0.321	2.056
201229	LYRM9	LYR motif containing 9	-0.437	2.906
7448	VTN	vitronectin	-0.896	4.264
23098	SARM1	sterile alpha and TIR motif containing 1	-0.418	7.173
113235	SLC46A1	solute carrier family 46 member 1	-0.278	2.542
9094	UNC119	unc-119 lipid binding chaperone	0.347	2.741
94005	PIGS	phosphatidylinositol glycan anchor biosynthesis class S	0.178	1.475
10615	SPAG5	sperm associated antigen 5	0.546	1.758
124923	RSKR	ribosomal protein S6 kinase related	-0.556	5.316
9703	BLTP2	bridge-like lipid transfer protein family member 2	0.432	13.734
83871	RAB34	RAB34, member RAS oncogene family	-0.431	4.401
116238	TLCD1	TLC domain containing 1	0.413	2.144
55731	FAM222B	family with sequence similarity 222 member B	0.297	3.81
2319	FLOT2	flotillin 2	0.197	3.132
147015	DHRS13	dehydrogenase/reductase 13	0.398	2.118
9220	TIAF1	replaced by ID 399687	-0.405	7.991
116236	ABHD15	abhydrolase domain containing 15	0.484	4.791
90313	TP53I13	tumor protein p53 inducible protein 13	-0.24	2.113
85464	SSH2	slingshot protein phosphatase 2	0.257	2.823
6532	SLC6A4	solute carrier family 6 member 4	-2.089	5.059
9527	GOSR1	golgi SNAP receptor complex member 1	-0.294	4.237
55803	ADAP2	ArfGAP with dual PH domains 2	0.566	3.085
84440	RAB11FIP4	RAB11 family interacting protein 4	0.537	1.925
55352	COPRS	coordinator of PRMT5 and differentiation stimulator	0.168	1.369
105371730	LOC105371730	uncharacterized LOC105371730	0.731	2.312
55288	RHOT1	ras homolog family member T1	0.531	7.347
8851	CDK5R1	cyclin dependent kinase 5 regulatory subunit 1	-0.689	7.063
4642	MYO1D	myosin ID	-0.733	2.516
26022	TMEM98	transmembrane protein 98	-0.443	2.664
107985038	LOC107985038	uncharacterized LOC107985038	1.54	2.996
6347	CCL2	C-C motif chemokine ligand 2	1.031	1.669
6356	CCL11	C-C motif chemokine ligand 11	2.157	7.212
5892	RAD51D	RAD51 paralog D	-0.248	2.677
54475	NLE1	notchless homolog 1	-0.482	6.668
105371932	LOC105371932	uncharacterized LOC105371932	-0.707	4.532
79148	MMP28	matrix metallopeptidase 28	-0.889	4.331
6352	CCL5	C-C motif chemokine ligand 5	-1.132	3.213
6348	CCL3	C-C motif chemokine ligand 3	-1.276	1.476
6351	CCL4	C-C motif chemokine ligand 4	-0.792	1.409
102724862	TBC1D3I	TBC1 domain family member 3I	0.355	2.327
101060321	TBC1D3G	TBC1 domain family member 3G	0.303	1.728
84218	TBC1D3F	TBC1 domain family member 3F	0.355	2.007
80179	MYO19	myosin XIX	0.209	2.961
79154	DHRS11	dehydrogenase/reductase 11	-0.507	4.94
107985031	LOC107985031	uncharacterized LOC107985031	-0.671	3.076
79922	MRM1	mitochondrial rRNA methyltransferase 1	0.255	1.943
26574	AATF	apoptosis antagonizing transcription factor	0.203	1.514
31	ACACA	acetyl-CoA carboxylase alpha	0.337	3.143
11056	DDX52	DExD-box helicase 52	0.245	2.699
101060389	TBC1D3D	TBC1 domain family member 3D	0.306	1.797
414060	TBC1D3C	TBC1 domain family member 3C	0.321	2.049
101929950	LOC101929950	puromycin-sensitive aminopeptidase-like protein	0.363	5.175
102723859	TBC1D3E	TBC1 domain family member 3E	0.323	6.115
729873	TBC1D3	TBC1 domain family member 3	0.329	1.792
440434	NPEPPSP1	NPEPPS pseudogene 1	0.289	4.456
30837	SOCS7	suppressor of cytokine signaling 7	-0.248	3.072
80725	SRCIN1	SRC kinase signaling inhibitor 1	-1.53	6.721
284106	CISD3	CDGSH iron sulfur domain 3	0.333	4.733
7703	PCGF2	polycomb group ring finger 2	-0.121	1.32
9349	RPL23	ribosomal protein L23	0.452	4.293
100505576	LINC00672	long intergenic non-protein coding RNA 672	-1.212	4.555
105371767	LOC105371767	uncharacterized LOC105371767	-1.392	2.945
57125	PLXDC1	plexin domain containing 1	-0.494	2.38
6143	RPL19	ribosomal protein L19	0.183	1.373
342667	STAC2	SH3 and cysteine rich domain 2	2.726	7.965
84961	FBXL20	F-box and leucine rich repeat protein 20	-0.266	3.032
5469	MED1	mediator complex subunit 1	0.248	3.51
51755	CDK12	cyclin dependent kinase 12	0.181	2.07
10948	STARD3	StAR related lipid transfer domain containing 3	-0.378	3.752
93210	PGAP3	post-GPI attachment to proteins phospholipase 3	-0.643	11.998
2064	ERBB2	erb-b2 receptor tyrosine kinase 2	0.225	1.915
84299	MIEN1	migration and invasion enhancer 1	0.577	8.765
2886	GRB7	growth factor receptor bound protein 7	1.01	2.349
22806	IKZF3	IKAROS family zinc finger 3	-0.758	1.462
55876	GSDMB	gasdermin B	-0.607	3.723
94103	ORMDL3	ORMDL sphingolipid biosynthesis regulator 3	-0.587	8.64
339287	MSL1	MSL complex subunit 1	0.158	1.63
22794	CASC3	CASC3 exon junction complex subunit	-0.147	2.383
51195	RAPGEFL1	Rap guanine nucleotide exchange factor like 1	0.449	2.674
5914	RARA	retinoic acid receptor alpha	-0.363	1.999
105371934	LOC105371934	uncharacterized LOC105371934	-0.645	2.1
101929693	RARA-AS1	RARA antisense RNA 1	-0.337	1.386
125111	GJD3	gap junction protein delta 3	-0.404	1.338
7153	TOP2A	DNA topoisomerase II alpha	2.001	5.339
1236	CCR7	C-C motif chemokine receptor 7	0.721	1.598
3728	JUP	junction plakoglobin	0.391	3.088
55175	KLHL11	kelch like family member 11	-0.425	4.602
83538	ODAD4	outer dynein arm docking complex subunit 4	-0.443	1.763
7266	DNAJC7	DnaJ heat shock protein family (Hsp40) member C7	0.232	3.341
201181	ZNF385C	zinc finger protein 385C	-0.536	4.046
110806298	C17orf113	chromosome 17 open reading frame 113	-0.718	3.917
79132	DHX58	DExH-box helicase 58	-0.393	1.442
2648	KAT2A	lysine acetyltransferase 2A	-0.333	4.228
84514	GHDC	GH3 domain containing	-0.472	4.501
6777	STAT5B	signal transducer and activator of transcription 5B	-0.173	3.047
6776	STAT5A	signal transducer and activator of transcription 5A	-0.205	2.346
6774	STAT3	signal transducer and activator of transcription 3	0.76	7.499
284119	CAVIN1	caveolae associated protein 1	-0.324	2.985
4669	NAGLU	N-acetyl-alpha-glucosaminidase	0.271	1.704
108783654	HSD17B1-AS1	HSD17B1 antisense RNA 1	0.18	1.868
80347	COASY	Coenzyme A synthase	0.205	1.659
6945	MLX	MAX dimerization protein MLX	0.579	6.322
29893	PSMC3IP	PSMC3 interacting protein	0.377	3.135
162427	RETREG3	reticulophagy regulator family member 3	-0.186	1.654
7283	TUBG1	tubulin gamma 1	0.511	6.874
2826	CCR10	C-C motif chemokine receptor 10	-0.499	1.817
100190938	RAMP2-AS1	RAMP2 antisense RNA 1	-0.776	3.442
10266	RAMP2	receptor activity modifying protein 2	-0.577	3.68
65266	WNK4	WNK lysine deficient protein kinase 4	-0.756	2.767
124817	CNTD1	cyclin N-terminal domain containing 1	0.198	2.643
8678	BECN1	beclin 1	0.235	4.475
10197	PSME3	proteasome activator subunit 3	0.173	2.595
8639	AOC3	amine oxidase copper containing 3	-0.412	1.338
90586	AOC4P	amine oxidase copper containing 4, pseudogene	-0.736	2.533
1659	DHX8	DEAH-box helicase 8	-0.093	1.38
2118	ETV4	ETS variant transcription factor 4	-0.82	1.927
84336	TMEM101	transmembrane protein 101	-0.194	1.396
